pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,pub_year,paper_type,type_confidence
2-s2.0-85099829624,2021,2021 Dec,Legal challenges for artificial intelligence in Chile,,Revista Chilena De Derecho Y Tecnologia,,Article,Paz C.A.,,10.5354/0719-2584.2020.54489,2-s2.0-85099829624,17,Q2,2021,discourse,Medium
2-s2.0-85099908970,2021,2021 Dec,Redesigning the ownership of artworks: Artificial and robotic intelligence,,Revista Chilena De Derecho Y Tecnologia,,Review,Chávez Valdivia A.K.,"Universidad La Salle, Arequipa, Arequipa, Peru",10.5354/0719-2584.2020.57674,2-s2.0-85099908970,7,Q2,2021,discourse,Medium
2-s2.0-85118151573,2021,2021 Dec,"Evolving artificial intelligence and robotics in medicine, evolving European law. Comparative remarks based on the surgery litigation",,Maastricht Journal of European and Comparative Law,,Article,Guerra G.,"Università degli Studi di Verona, Verona, Italy",10.1177/1023263X211042470,2-s2.0-85118151573,8,Q2,2021,discourse,Medium
2-s2.0-85099812241,2021,2021 Dec,Two-layered fuzzy logic-based model for predicting court decisions in construction contract disputes,,Artificial Intelligence and Law,,Article,Bagherian-Marandi N.,"Islamic Azad University, Science and Research Branch, Tehran, Iran",10.1007/s10506-021-09281-9,2-s2.0-85099812241,32,Q1,2021,evaluative,Medium
2-s2.0-85101205434,2021,2021 Dec,Has machine learning rendered simple rules obsolete?,,European Journal of Law and Economics,,Article,Fernández-Villaverde J.,"University of Pennsylvania, Philadelphia, United States",10.1007/s10657-021-09690-w,2-s2.0-85101205434,3,Q2,2021,discourse,Medium
2-s2.0-85115111971,2021,2021 Dec,Privacy and artificial intelligence: challenges for protecting health information in a new era,,BMC Medical Ethics,,Article,Murdoch B.,"University of Alberta, Edmonton, Canada",10.1186/s12910-021-00687-3,2-s2.0-85115111971,744,Q1,2021,discourse,Medium
2-s2.0-85083239338,2021,2021 Dec,Primer on an ethics of AI-based decision support systems in the clinic,,Journal of Medical Ethics,,Article,Braun M.,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany",10.1136/medethics-2019-105860,2-s2.0-85083239338,185,Q1,2021,discourse,Medium
2-s2.0-85113784959,2021,2021 Nov,Yea or nay to artificial intelligence? More questions than answers under Malaysian copyright law,,Journal of World Intellectual Property,,Article,Sik C.P.,"Universiti Malaya, Kuala Lumpur, Malaysia",10.1111/jwip.12196,2-s2.0-85113784959,0,Q1,2021,discourse,Medium
2-s2.0-85117217886,2021,2021 Nov,When Art Meets Technology or Vice Versa: Key Challenges at the Crossroads of AI-Generated Artworks and Copyright Law,,IIC International Review of Intellectual Property and Competition Law,,Article,Škiljić A.,"Georgetown Law, Washington, D.C., United States",10.1007/s40319-021-01119-w,2-s2.0-85117217886,29,Q1,2021,discourse,Medium
2-s2.0-85196718867,2021,2021 Oct,"The Gender Panopticon: AI, Gender, and Design Justice",,UCLA Law Review,,Review,Katyal S.K.,"University of California, Berkeley, Berkeley, United States",,2-s2.0-85196718867,30,Q2,2021,discourse,Medium
2-s2.0-85115227165,2021,2021 Oct,Inevitable Influences: AI-Based Medical Devices at the Intersection of Medical Devices Regulation and the Proposal for AI Regulation,,European Journal of Health Law,,Article,Palmieri S.,"Universiteit Gent, Ghent, Belgium",10.1163/15718093-bja10053,2-s2.0-85115227165,21,Q2,2021,discourse,Medium
